Ultimo,Abertura,Maxima,Minima,Ultimo_2,Abertura_2,Maxima_2,Minima_2,Ultimo_3,Abertura_3,Maxima_3,Minima_3,Dia_seguinte
1.0002,0.9994,1.0020,0.9983,0.9991,1.0002,1.0018,0.9852,0.9992,0.9991,1.0123,0.9625,0.9996
0.9991,1.0002,1.0018,0.9852,0.9992,0.9991,1.0123,0.9625,0.9996,0.9992,1.0027,0.9970,1.0013
0.9992,0.9991,1.0123,0.9625,0.9996,0.9992,1.0027,0.9970,1.0013,0.9996,1.0039,0.9993,0.9991
0.9996,0.9992,1.0027,0.9970,1.0013,0.9996,1.0039,0.9993,0.9991,1.0013,1.0021,0.9980,0.9987
1.0013,0.9996,1.0039,0.9993,0.9991,1.0013,1.0021,0.9980,0.9987,0.9991,1.0005,0.9966,0.9990
0.9991,1.0013,1.0021,0.9980,0.9987,0.9991,1.0005,0.9966,0.9990,0.9987,1.0008,0.9953,1.0000
0.9987,0.9991,1.0005,0.9966,0.9990,0.9987,1.0008,0.9953,1.0000,0.9990,1.0032,0.9847,1.0017
0.9990,0.9987,1.0008,0.9953,1.0000,0.9990,1.0032,0.9847,1.0017,1.0001,1.0055,0.9971,1.0015
1.0000,0.9990,1.0032,0.9847,1.0017,1.0001,1.0055,0.9971,1.0015,1.0017,1.0149,0.9996,1.0006
1.0017,1.0001,1.0055,0.9971,1.0015,1.0017,1.0149,0.9996,1.0006,1.0015,1.0081,0.9747,1.0001
1.0015,1.0017,1.0149,0.9996,1.0006,1.0015,1.0081,0.9747,1.0001,1.0005,1.0102,0.9688,0.9993
1.0006,1.0015,1.0081,0.9747,1.0001,1.0005,1.0102,0.9688,0.9993,1.0002,1.0028,0.8814,0.9995
1.0001,1.0005,1.0102,0.9688,0.9993,1.0002,1.0028,0.8814,0.9995,0.9993,1.0004,0.9990,0.9976
0.9993,1.0002,1.0028,0.8814,0.9995,0.9993,1.0004,0.9990,0.9976,0.9995,0.9999,0.9976,0.9977
0.9995,0.9993,1.0004,0.9990,0.9976,0.9995,0.9999,0.9976,0.9977,0.9976,1.0003,0.9915,0.9985
0.9976,0.9995,0.9999,0.9976,0.9977,0.9976,1.0003,0.9915,0.9985,0.9977,1.0000,0.9974,0.9991
0.9977,0.9976,1.0003,0.9915,0.9985,0.9977,1.0000,0.9974,0.9991,0.9985,1.0034,0.9973,0.9992
0.9985,0.9977,1.0000,0.9974,0.9991,0.9985,1.0034,0.9973,0.9992,0.9991,1.0003,0.9925,0.9989
0.9991,0.9985,1.0034,0.9973,0.9992,0.9991,1.0003,0.9925,0.9989,0.9992,1.0042,0.9793,0.9977
0.9992,0.9991,1.0003,0.9925,0.9989,0.9992,1.0042,0.9793,0.9977,0.9990,1.0075,0.9914,0.9990
0.9989,0.9992,1.0042,0.9793,0.9977,0.9990,1.0075,0.9914,0.9990,0.9976,1.0119,0.9789,0.9993
0.9977,0.9990,1.0075,0.9914,0.9990,0.9976,1.0119,0.9789,0.9993,0.9990,1.0090,0.9746,1.0005
0.9990,0.9976,1.0119,0.9789,0.9993,0.9990,1.0090,0.9746,1.0005,0.9993,1.0048,0.9854,1.0000
0.9993,0.9990,1.0090,0.9746,1.0005,0.9993,1.0048,0.9854,1.0000,1.0005,1.0089,0.9901,0.9987
1.0005,0.9993,1.0048,0.9854,1.0000,1.0005,1.0089,0.9901,0.9987,1.0000,1.0054,0.9837,0.9983
1.0000,1.0005,1.0089,0.9901,0.9987,1.0000,1.0054,0.9837,0.9983,0.9987,1.0012,0.9937,0.9976
0.9987,1.0000,1.0054,0.9837,0.9983,0.9987,1.0012,0.9937,0.9976,0.9981,1.0008,0.9874,0.9990
0.9983,0.9987,1.0012,0.9937,0.9976,0.9981,1.0008,0.9874,0.9990,0.9976,1.0001,0.9912,0.9985
0.9976,0.9981,1.0008,0.9874,0.9990,0.9976,1.0001,0.9912,0.9985,0.9990,1.0039,0.9950,0.9997
0.9990,0.9976,1.0001,0.9912,0.9985,0.9990,1.0039,0.9950,0.9997,0.9985,1.0014,0.9977,0.9999
0.9985,0.9990,1.0039,0.9950,0.9997,0.9985,1.0014,0.9977,0.9999,0.9997,1.0010,0.9983,0.9979
0.9997,0.9985,1.0014,0.9977,0.9999,0.9997,1.0010,0.9983,0.9979,0.9999,1.0047,0.9954,1.0004
0.9999,0.9997,1.0010,0.9983,0.9979,0.9999,1.0047,0.9954,1.0004,0.9978,1.0017,0.9976,1.0008
0.9979,0.9999,1.0047,0.9954,1.0004,0.9978,1.0017,0.9976,1.0008,1.0004,1.0013,0.9992,1.0001
1.0004,0.9978,1.0017,0.9976,1.0008,1.0004,1.0013,0.9992,1.0001,1.0008,1.0017,0.9997,1.0007
1.0008,1.0004,1.0013,0.9992,1.0001,1.0008,1.0017,0.9997,1.0007,1.0001,1.0026,0.9997,0.9965
1.0001,1.0008,1.0017,0.9997,1.0007,1.0001,1.0026,0.9997,0.9965,1.0007,1.0075,0.9900,0.9996
1.0007,1.0001,1.0026,0.9997,0.9965,1.0007,1.0075,0.9900,0.9996,0.9965,1.0002,0.9962,0.9998
0.9965,1.0007,1.0075,0.9900,0.9996,0.9965,1.0002,0.9962,0.9998,0.9996,1.0019,0.9992,0.9981
0.9996,0.9965,1.0002,0.9962,0.9998,0.9996,1.0019,0.9992,0.9981,0.9998,1.0013,0.9975,0.9981
0.9998,0.9996,1.0019,0.9992,0.9981,0.9998,1.0013,0.9975,0.9981,0.9981,0.9995,0.9974,0.9985
0.9981,0.9998,1.0013,0.9975,0.9981,0.9981,0.9995,0.9974,0.9985,0.9981,0.9998,0.9979,0.9978
0.9981,0.9981,0.9995,0.9974,0.9985,0.9981,0.9998,0.9979,0.9978,0.9985,1.0006,0.9975,0.9975
0.9985,0.9981,0.9998,0.9979,0.9978,0.9985,1.0006,0.9975,0.9975,0.9978,0.9992,0.9966,0.9975
0.9978,0.9985,1.0006,0.9975,0.9975,0.9978,0.9992,0.9966,0.9975,0.9975,0.9995,0.9971,0.9988
0.9975,0.9978,0.9992,0.9966,0.9975,0.9975,0.9995,0.9971,0.9988,0.9975,1.0006,0.9972,0.9978
0.9975,0.9975,0.9995,0.9971,0.9988,0.9975,1.0006,0.9972,0.9978,0.9988,1.0008,0.9976,0.9980
0.9988,0.9975,1.0006,0.9972,0.9978,0.9988,1.0008,0.9976,0.9980,0.9978,0.9994,0.9978,0.9996
0.9978,0.9988,1.0008,0.9976,0.9980,0.9978,0.9994,0.9978,0.9996,0.9980,0.9998,0.9973,0.9980
0.9980,0.9978,0.9994,0.9978,0.9996,0.9980,0.9998,0.9973,0.9980,0.9996,1.0000,0.9976,0.9989
0.9996,0.9980,0.9998,0.9973,0.9980,0.9996,1.0000,0.9976,0.9989,0.9980,0.9998,0.9975,0.9976
0.9980,0.9996,1.0000,0.9976,0.9989,0.9980,0.9998,0.9975,0.9976,0.9989,1.0006,0.9974,0.9970
0.9989,0.9980,0.9998,0.9975,0.9976,0.9989,1.0006,0.9974,0.9970,0.9976,0.9987,0.9966,0.9993
0.9976,0.9989,1.0006,0.9974,0.9970,0.9976,0.9987,0.9966,0.9993,0.9970,1.0005,0.9966,0.9993
